zsh: Нет такого файла или каталога: ./cmd/screener-core/screener-core
2025/09/19 23:04:50 logger.go:35: 2025-09-19T23:04:50+03:00 [INFO] logger initialized, output=screner.log
2025/09/19 23:04:50 main.go:60: 2025-09-19T23:04:50+03:00 [INFO] starting Screener Core - multi-exchange with shared channel
2025/09/19 23:04:50 error reading config file: open configs/screener-core.yaml: no such file or directory
2025/09/19 23:05:19 logger.go:35: 2025-09-19T23:05:19+03:00 [INFO] logger initialized, output=screner.log
2025/09/19 23:05:19 main.go:60: 2025-09-19T23:05:19+03:00 [INFO] starting Screener Core - multi-exchange with shared channel
2025/09/19 23:05:19 client.go:16: 2025-09-19T23:05:19+03:00 [INFO] initializing Redis client: addr=localhost:6379 db=0
2025/09/19 23:05:19 main.go:70: 2025-09-19T23:05:19+03:00 [INFO] Redis client initialized: localhost:6379
2025/09/19 23:05:19 main.go:77: 2025-09-19T23:05:19+03:00 [INFO] Loaded 582 symbols from JSON file
2025/09/19 23:05:19 main.go:93: 2025-09-19T23:05:19+03:00 [INFO] Exchanges: gate, bybit
2025/09/19 23:05:19 main.go:247: 2025-09-19T23:05:19+03:00 [INFO] Screener Core running: 582 symbols across gate, bybit
2025/09/19 23:05:19 gateio.go:29: 2025-09-19T23:05:19+03:00 [INFO] connecting to Gate WS wss://api.gateio.ws/ws/v4/
2025/09/19 23:05:19 bybit.go:30: 2025-09-19T23:05:19+03:00 [INFO] connecting to Bybit WS wss://stream.bybit.com/v5/public/spot
2025/09/19 23:05:20 bybit.go:36: 2025-09-19T23:05:20+03:00 [INFO] Bybit connected
2025/09/19 23:05:20 main.go:121: 2025-09-19T23:05:20+03:00 [INFO] Bybit subscribe 1/582: $AIUSDT
2025/09/19 23:05:20 main.go:121: 2025-09-19T23:05:20+03:00 [INFO] Bybit subscribe 2/582: 1INCHUSDT
2025/09/19 23:05:20 main.go:121: 2025-09-19T23:05:20+03:00 [INFO] Bybit subscribe 3/582: A2ZUSDT
2025/09/19 23:05:20 main.go:121: 2025-09-19T23:05:20+03:00 [INFO] Bybit subscribe 4/582: A8USDT
2025/09/19 23:05:20 main.go:121: 2025-09-19T23:05:20+03:00 [INFO] Bybit subscribe 5/582: AAVEUSDT
2025/09/19 23:05:20 main.go:121: 2025-09-19T23:05:20+03:00 [INFO] Bybit subscribe 6/582: ACEUSDT
2025/09/19 23:05:20 main.go:121: 2025-09-19T23:05:20+03:00 [INFO] Bybit subscribe 7/582: ACHUSDT
2025/09/19 23:05:20 main.go:121: 2025-09-19T23:05:20+03:00 [INFO] Bybit subscribe 8/582: ACTUSDT
2025/09/19 23:05:20 main.go:121: 2025-09-19T23:05:20+03:00 [INFO] Bybit subscribe 9/582: ACXUSDT
2025/09/19 23:05:20 main.go:121: 2025-09-19T23:05:20+03:00 [INFO] Bybit subscribe 10/582: ADAUSDT
